ID,SKU,Name,Type,Action,Reason,New Parent SKU
63907,,Agrowlyte Stop PM 5 Gallon,simple,DELETE,Consolidated into 'Agrowlyte Stop PM' as variant,HMH-AGROWLYTE-STOP-PM-482E
66978,HMH-NUT-U1Y8EA,Agrowlyte Stop PM 5,simple,DELETE,Consolidated into 'Agrowlyte Stop PM' as variant,HMH-AGROWLYTE-STOP-PM-482E
66332,3015,D.T.E. LIQUID BLOOM 2-6-4 1GAL,simple,DELETE,Consolidated into 'D.T.E. LIQUID BLOOM 2-6-4' as variant,HMH-D-T-E-LIQUID-BLOOM-2-6-4-94CC
67937,3014,D.T.E. LIQUID BLOOM 2-6-4 1QT,simple,DELETE,Consolidated into 'D.T.E. LIQUID BLOOM 2-6-4' as variant,HMH-D-T-E-LIQUID-BLOOM-2-6-4-94CC
66377,3648,GREASE yellow Finisher 1 liter,simple,DELETE,Consolidated into 'GREASE yellow Finisher' as variant,HMH-GREASE-YELLOW-FINISHER-AFF3
68816,3621,GREASE Yellow FINISHER 500,simple,DELETE,Consolidated into 'GREASE yellow Finisher' as variant,HMH-GREASE-YELLOW-FINISHER-AFF3
66982,2302,Air Stone (FHD),simple,DELETE,Consolidated into 'Air Stone' as variant,HMH-AIR-STONE-EC47
66983,907,Air Stone 4,simple,DELETE,Consolidated into 'Air Stone' as variant,HMH-AIR-STONE-EC47
67891,2258,Covert Tank 33,simple,DELETE,Consolidated into 'Covert Tank' as variant,HMH-COVERT-TANK-A322
67892,2259,Covert Tank 66,simple,DELETE,Consolidated into 'Covert Tank' as variant,HMH-COVERT-TANK-A322
69742,3195,Netafim 2 Way Dripper Stake 48,simple,DELETE,Consolidated into 'Netafim' as variant,HMH-NETAFIM-61A5
69743,3460,Netafim 4 Way 48 Drippes 25/pk,simple,DELETE,Consolidated into 'Netafim' as variant,HMH-NETAFIM-61A5
69770,2527,NODOR Puck 6,simple,DELETE,Consolidated into 'NODOR Puck' as variant,HMH-NODOR-PUCK-9E23
69771,2528,NODOR Puck 8,simple,DELETE,Consolidated into 'NODOR Puck' as variant,HMH-NODOR-PUCK-9E23
69868,883,One Shot amendment 12,simple,DELETE,Consolidated into 'One Shot amendment' as variant,HMH-ONE-SHOT-AMENDMENT-613A
69869,882,One Shot amendment 4,simple,DELETE,Consolidated into 'One Shot amendment' as variant,HMH-ONE-SHOT-AMENDMENT-613A
70305,1369,Reservoir Heater 200w,simple,DELETE,Consolidated into 'Reservoir Heater' as variant,HMH-RESERVOIR-HEATER-4D5D
70306,1370,Reservoir Heater 300w,simple,DELETE,Consolidated into 'Reservoir Heater' as variant,HMH-RESERVOIR-HEATER-4D5D
70719,3032,SunBlaster/LED Strip Lights 24,simple,DELETE,Consolidated into 'SunBlaster/LED Strip Lights' as variant,HMH-SUNBLASTER-LED-STRIP-LIGH-CA01
70720,3033,SunBlaster/LED Strip Lights 48,simple,DELETE,Consolidated into 'SunBlaster/LED Strip Lights' as variant,HMH-SUNBLASTER-LED-STRIP-LIGH-CA01
70956,2626,UNO 2 speed fan 440CFM,simple,DELETE,Consolidated into 'UNO 2 speed fan' as variant,HMH-UNO-2-SPEED-FAN-3DE8
70961,2623,UNO 2 speed Fan 845cfm,simple,DELETE,Consolidated into 'UNO 2 speed fan' as variant,HMH-UNO-2-SPEED-FAN-3DE8
13172,hmh00010,FloraBlend,grouped,DELETE,Grouped product merged into variable,
13178,hmh00015,BioThrive,grouped,DELETE,Grouped product merged into variable,
13182,hmh00019,BioBud,grouped,DELETE,Grouped product merged into variable,
13183,hmh00020,BioMarine,grouped,DELETE,Grouped product merged into variable,
13185,hmh00022,BioWeed,grouped,DELETE,Grouped product merged into variable,
13186,hmh00023,CaMg+,grouped,DELETE,Grouped product merged into variable,
13187,hmh00024,Diamond Black,grouped,DELETE,Grouped product merged into variable,
13188,hmh00025,Diamond Nectar,grouped,DELETE,Grouped product merged into variable,
