sku,name,type,dec31_image,local_file,status,slug_stem_tried
hmh01109,ONA Liquid Polar Crystal (1 gal),simple,https://hmoonhydro.com/wp-content/uploads/2019/08/ONA-Liquid-bottle-200.jpg,hmoonhydro.com\wp-content\uploads\2019\08\ONA-Liquid-bottle-200.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh01111,ONA Gel Fresh Linen (1 gal),simple,https://hmoonhydro.com/wp-content/uploads/2019/08/ONA-Gel-collage.jpg,hmoonhydro.com\wp-content\uploads\2019\08\ONA-Gel-collage.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh01114,ONA Pro Gel (1 gal),simple,https://hmoonhydro.com/wp-content/uploads/2019/08/ONA-Gel-collage.jpg,hmoonhydro.com\wp-content\uploads\2019\08\ONA-Gel-collage.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh01149,FloraNectar Coconut 1 gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/FloraNectar.jpg,hmoonhydro.com\wp-content\uploads\2019\08\FloraNectar.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh01156,CALiMAGic qt,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/CALiMAGic.png,hmoonhydro.com\wp-content\uploads\2019\08\CALiMAGic.png,PRODUCT_ABSENT_FROM_FEB12,
hmh01157,CALiMAGic gal,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/CALiMAGic.png,hmoonhydro.com\wp-content\uploads\2019\08\CALiMAGic.png,PRODUCT_ABSENT_FROM_FEB12,
hmh01169,Pure Blend Pro Grow Gal.,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/PBPGrow_GalFB_0.png,hmoonhydro.com\wp-content\uploads\2019\08\PBPGrow_GalFB_0.png,PRODUCT_ABSENT_FROM_FEB12,
hmh01171,Pure Blend Pro Bloom Gal.,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/PBPBloom_GalFB_0.png,hmoonhydro.com\wp-content\uploads\2019\08\PBPBloom_GalFB_0.png,PRODUCT_ABSENT_FROM_FEB12,
hmh01173,Pure Blend Pro Soil Gal.,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/PBPSoil_GalFB_0.png,hmoonhydro.com\wp-content\uploads\2019\08\PBPSoil_GalFB_0.png,PRODUCT_ABSENT_FROM_FEB12,
hmh01175,Hydroplex Gal.,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/Hydroplex_GalB.png,hmoonhydro.com\wp-content\uploads\2019\08\Hydroplex_GalB.png,PRODUCT_ABSENT_FROM_FEB12,
hmh01177,Liquid Karma Gal.,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/LK_GalB.png,hmoonhydro.com\wp-content\uploads\2019\08\LK_GalB.png,PRODUCT_ABSENT_FROM_FEB12,
hmh01180,Cal-Mag Plus Gal.,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/CalMag_GalB.png,hmoonhydro.com\wp-content\uploads\2019\08\CalMag_GalB.png,PRODUCT_ABSENT_FROM_FEB12,
hmh01182,Clearex Gal.,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/Clearex_GalB.png,hmoonhydro.com\wp-content\uploads\2019\08\Clearex_GalB.png,PRODUCT_ABSENT_FROM_FEB12,
hmh01184,Silica Blast Gal.,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/SilicaBlast_GalB.png,hmoonhydro.com\wp-content\uploads\2019\08\SilicaBlast_GalB.png,PRODUCT_ABSENT_FROM_FEB12,
hmh01228,B'Cuzz CoCo Nutrition Componet A 5L,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/bcuzz-coco-a-b.jpg,hmoonhydro.com\wp-content\uploads\2019\08\bcuzz-coco-a-b.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh01229,B'Cuzz CoCo Nutrition Componet B 5L,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/bcuzz-coco-a-b.jpg,hmoonhydro.com\wp-content\uploads\2019\08\bcuzz-coco-a-b.jpg,PRODUCT_ABSENT_FROM_FEB12,
