SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
154,,,,,,,,,,,,0752289790447,SKIP_MISSING_IN_SHOPIFY
156,,,,,,,,,,,,0752289790393,SKIP_MISSING_IN_SHOPIFY
157,,,,,,,,,,,,0727644120405,SKIP_MISSING_IN_SHOPIFY
379,,,,,,,,,,,,0856372001370,SKIP_MISSING_IN_SHOPIFY
380,,,,,,,,,,,,69111111117774,SKIP_MISSING_IN_SHOPIFY
382,,,,,,,,,,,,0691111649503,SKIP_MISSING_IN_SHOPIFY
383,,,,,,,,,,,,6911111799734,SKIP_MISSING_IN_SHOPIFY
387,,,,,,,,,,,,0069111144560,SKIP_MISSING_IN_SHOPIFY
443,,,,,,,,,,,,0691111146452,SKIP_MISSING_IN_SHOPIFY
561,,,,,,,,,,,,8637654466544,SKIP_MISSING_IN_SHOPIFY
588,,,,,,,,,,,,0837654478813,SKIP_MISSING_IN_SHOPIFY
471,,,,,,,,,,,,6911111606060,SKIP_MISSING_IN_SHOPIFY
498,,,,,,,,,,,,0793094066105,SKIP_MISSING_IN_SHOPIFY
535,,,,,,,,,,,,0840470000991,SKIP_MISSING_IN_SHOPIFY
589,,,,,,,,,,,,0837654478820,SKIP_MISSING_IN_SHOPIFY
197,,,,,,,,,,,,0793094016735,SKIP_MISSING_IN_SHOPIFY
207,,,,,,,,,,,,0870883008352,SKIP_MISSING_IN_SHOPIFY
186,,,,,,,,,,,,0776190101031,SKIP_MISSING_IN_SHOPIFY
187,,,,,,,,,,,,0563590002729,SKIP_MISSING_IN_SHOPIFY
192,,,,,,,,,,,,0793094016810,SKIP_MISSING_IN_SHOPIFY
194,,,,,,,,,,,,0793094016711,SKIP_MISSING_IN_SHOPIFY
195,,,,,,,,,,,,0793094016728,SKIP_MISSING_IN_SHOPIFY
232,,,,,,,,,,,,0845268001853,SKIP_MISSING_IN_SHOPIFY
234,,,,,,,,,,,,0845268002546,SKIP_MISSING_IN_SHOPIFY
236,,,,,,,,,,,,0845268001068,SKIP_MISSING_IN_SHOPIFY
240,,,,,,,,,,,,0845268001860,SKIP_MISSING_IN_SHOPIFY
241,,,,,,,,,,,,0845268000030,SKIP_MISSING_IN_SHOPIFY
242,,,,,,,,,,,,0845268001273,SKIP_MISSING_IN_SHOPIFY
256,,,,,,,,,,,,0845268002034,SKIP_MISSING_IN_SHOPIFY
259,,,,,,,,,,,,0845268002430,SKIP_MISSING_IN_SHOPIFY
260,,,,,,,,,,,,0845268002683,SKIP_MISSING_IN_SHOPIFY
261,,,,,,,,,,,,0845268001570,SKIP_MISSING_IN_SHOPIFY
262,,,,,,,,,,,,0845268001587,SKIP_MISSING_IN_SHOPIFY
264,,,,,,,,,,,,0845268001891,SKIP_MISSING_IN_SHOPIFY
265,,,,,,,,,,,,0845268000467,SKIP_MISSING_IN_SHOPIFY
222,,,,,,,,,,,,0719812005683,SKIP_MISSING_IN_SHOPIFY
223,,,,,,,,,,,,0845268001815,SKIP_MISSING_IN_SHOPIFY
225,,,,,,,,,,,,0845268001266,SKIP_MISSING_IN_SHOPIFY
227,,,,,,,,,,,,0845268003147,SKIP_MISSING_IN_SHOPIFY
302,,,,,,,,,,,,0870883006150,SKIP_MISSING_IN_SHOPIFY
306,,,,,,,,,,,,0752289501418,SKIP_MISSING_IN_SHOPIFY
307,,,,,,,,,,,,0752289501432,SKIP_MISSING_IN_SHOPIFY
308,,,,,,,,,,,,0752289201639,SKIP_MISSING_IN_SHOPIFY
309,,,,,,,,,,,,0752289501531,SKIP_MISSING_IN_SHOPIFY
310,,,,,,,,,,,,0752289501517,SKIP_MISSING_IN_SHOPIFY
311,,,,,,,,,,,,0752289201738,SKIP_MISSING_IN_SHOPIFY
313,,,,,,,,,,,,0752289790508,SKIP_MISSING_IN_SHOPIFY
389,,,,,,,,,,,,0069111177455,SKIP_MISSING_IN_SHOPIFY
472,,,,,,,,,,,,0691110655541,SKIP_MISSING_IN_SHOPIFY
499,,,,,,,,,,,,0793094067102,SKIP_MISSING_IN_SHOPIFY
524,,,,,,,,,,,,0628507100070,SKIP_MISSING_IN_SHOPIFY
617,,,,,,,,,,,,0837654466186,SKIP_MISSING_IN_SHOPIFY
643,,,,,,,,,,,,0793094016070,SKIP_MISSING_IN_SHOPIFY
390,,,,,,,,,,,,0691111172234,SKIP_MISSING_IN_SHOPIFY
473,,,,,,,,,,,,6911111460533,SKIP_MISSING_IN_SHOPIFY
500,,,,,,,,,,,,0793094068109,SKIP_MISSING_IN_SHOPIFY
591,,,,,,,,,,,,0837654478844,SKIP_MISSING_IN_SHOPIFY
618,,,,,,,,,,,,0837654466193,SKIP_MISSING_IN_SHOPIFY
247,,,,,,,,,,,,0845268002423,SKIP_MISSING_IN_SHOPIFY
249,,,,,,,,,,,,0845268002706,SKIP_MISSING_IN_SHOPIFY
251,,,,,,,,,,,,0845268002669,SKIP_MISSING_IN_SHOPIFY
253,,,,,,,,,,,,0845268002386,SKIP_MISSING_IN_SHOPIFY
254,,,,,,,,,,,,0845268003291,SKIP_MISSING_IN_SHOPIFY
255,,,,,,,,,,,,0845268001471,SKIP_MISSING_IN_SHOPIFY
280,,,,,,,,,,,,0793094053525,SKIP_MISSING_IN_SHOPIFY
281,,,,,,,,,,,,0793094053532,SKIP_MISSING_IN_SHOPIFY
284,,,,,,,,,,,,0793094053327,SKIP_MISSING_IN_SHOPIFY
285,,,,,,,,,,,,0793094053334,SKIP_MISSING_IN_SHOPIFY
286,,,,,,,,,,,,0845268000580,SKIP_MISSING_IN_SHOPIFY
288,,,,,,,,,,,,0719812012537,SKIP_MISSING_IN_SHOPIFY
289,,,,,,,,,,,,0719812160436,SKIP_MISSING_IN_SHOPIFY
268,,,,,,,,,,,,0845268000931,SKIP_MISSING_IN_SHOPIFY
270,,,,,,,,,,,,0793094053426,SKIP_MISSING_IN_SHOPIFY
271,,,,,,,,,,,,0793094053433,SKIP_MISSING_IN_SHOPIFY
273,,,,,,,,,,,,0793094053136,SKIP_MISSING_IN_SHOPIFY
276,,,,,,,,,,,,0793094053228,SKIP_MISSING_IN_SHOPIFY
277,,,,,,,,,,,,0793094053235,SKIP_MISSING_IN_SHOPIFY
315,,,,,,,,,,,,0752289790300,SKIP_MISSING_IN_SHOPIFY
316,,,,,,,,,,,,0752289790713,SKIP_MISSING_IN_SHOPIFY
319,,,,,,,,,,,,0752289790775,SKIP_MISSING_IN_SHOPIFY
320,,,,,,,,,,,,0752289790805,SKIP_MISSING_IN_SHOPIFY
321,,,,,,,,,,,,0752289790812,SKIP_MISSING_IN_SHOPIFY
291,,,,,,,,,,,,0035307016010,SKIP_MISSING_IN_SHOPIFY
296,,,,,,,,,,,,0849969022773,SKIP_MISSING_IN_SHOPIFY
297,,,,,,,,,,,,0812111010027,SKIP_MISSING_IN_SHOPIFY
301,,,,,,,,,,,,0757900170080,SKIP_MISSING_IN_SHOPIFY
1322,,,,,,,,,,,,0718122115730,SKIP_MISSING_IN_SHOPIFY
1593,,,,,,,,,,,,0692236000130,SKIP_MISSING_IN_SHOPIFY
391,,,,,,,,,,,,6911111177333,SKIP_MISSING_IN_SHOPIFY
526,,,,,,,,,,,,0628507100100,SKIP_MISSING_IN_SHOPIFY
565,,,,,,,,,,,,0837654466643,SKIP_MISSING_IN_SHOPIFY
592,,,,,,,,,,,,0837654478936,SKIP_MISSING_IN_SHOPIFY
503,,,,,,,,,,,,8715428000502,SKIP_MISSING_IN_SHOPIFY
