priority,unitsSold,hasSizeToken,sizeToken,hasLiquidHint,liquidCategory,nonLiquidCategory,blockedByNameTerm,Type,SKU,Name,Brands,Categories
162,0,no,,no,no,yes,no,simple,1113,Source Extracter,Nickel City Wholesale Garden Supply,Accessories
163,0,no,,no,no,no,no,simple,3613,SolarNOON UV-Seires Lamp 150D/E,Phive8,Bulbs
164,0,no,,no,no,yes,no,simple,3394,Soil pH Tester - Test pH levels,BFG,ph_meters
165,0,no,,no,no,yes,no,simple,hmh01141,Socket Sets,Socket,electrical_supplies
166,0,no,,no,no,no,no,simple,hmh00627,Snapture SnapStand,Snapture,grow_lights
167,0,no,,no,no,no,no,simple,493,SnapStand Dovetail 90 Degree,Nickel City Wholesale Garden Supply,grow_lights
168,0,no,,no,no,yes,no,simple,881,Smokus Focus STASH,Sunlight Supply inc.,Accessories
169,0,no,,no,no,yes,no,simple,884,Smokus Focus Middleman,Sunlight Supply inc.,Accessories
170,0,no,,no,no,no,no,simple,910,Small Round Air Stone,NGW,irrigation
171,0,no,,no,no,no,no,simple,1438,Small Boy w/ Upgrade KDF85,Nickel City Wholesale Garden Supply,odor_control
172,0,no,,no,no,yes,no,simple,2746,Slide Nut W/Thumb Screw,Nickel City Wholesale Garden Supply,Accessories
173,0,no,,yes,yes,no,no,simple,hmh01103,SledgeHammer (1 ),,nutrients
174,0,no,,no,no,yes,no,simple,3332,Single-Use 6 in FloraCap®,Hawthorne Hydoponics LLC,Accessories
175,0,no,,yes,no,yes,no,simple,1653,Single Micro-Pore,NGW,Accessories
176,0,no,,yes,yes,no,no,simple,3289,Silica diatomite stone BULK Ton,Nickel City Wholesale Garden Supply,nutrients
177,0,no,,no,no,no,no,simple,1546,Short Tub Outlet Fitting 1/2,NGW,irrigation
178,0,no,,no,no,no,no,simple,2896,ShearPerfectionSteel Bonsai 60m,Sunlight Supply inc.,harvesting
179,0,no,,no,no,no,no,simple,3028,ShearPerfectionShear - curve,Sunlight Supply inc.,harvesting
