base_key,handle_count,category,has_consolidated_handle,sku_match_ratio,suggested_action,handles,sample_product_names,vendors,product_types
humboldt-bloom,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,humboldt-bloom-0-6-5|humboldt-bloom-1-gal|humboldt-bloom-1-qt|humboldt-bloom-2-5-gal|humboldt-bloom-5-gal,Humboldt Bloom  2.5 gal|Humboldt Bloom 0-6-5|Humboldt Bloom 1 gal|Humboldt Bloom 1 qt|Humboldt Bloom 5 gal,H Moon Hydro,grouped|simple
humboldt-grow,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,humboldt-grow-1-gal|humboldt-grow-1-qt|humboldt-grow-2-1-6|humboldt-grow-2-5-gal|humboldt-grow-5-gal,Humboldt Grow 1 gal|Humboldt Grow 1 qt|Humboldt Grow 2-1-6|Humboldt Grow 2.5 gal|Humboldt Grow 5 gal,H Moon Hydro,grouped|simple
humboldt-oneness,5,archive,no,1.00,Archive legacy single products; already covered in consolidated import,humboldt-oneness-1-gal|humboldt-oneness-1-qt|humboldt-oneness-15-gal|humboldt-oneness-2-5-gal|humboldt-oneness-5-gal,Humboldt Oneness 1 gal|Humboldt Oneness 1 qt|Humboldt Oneness 15 gal|Humboldt Oneness 2.5 gal|Humboldt Oneness 5 gal,H Moon Hydro,simple
humboldt-roots,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,humboldt-roots|humboldt-roots-125-ml|humboldt-roots-250-ml|humboldt-roots-50-ml|humboldt-roots-500-ml,Humboldt Roots|Humboldt Roots 125 ml|Humboldt Roots 250 ml|Humboldt Roots 50 ml|Humboldt Roots 500 ml,H Moon Hydro,grouped|simple
liquid-bud-start,5,archive,no,1.00,Archive legacy single products; already covered in consolidated import,liquid-bud-start-1l|liquid-bud-start-250ml|liquid-bud-start-4l|liquid-bud-start-500ml|liquid-bud-start-6-gal,Liquid Bud Start  6 gal|Liquid Bud Start 1L|Liquid Bud Start 250ml|Liquid Bud Start 4L|Liquid Bud Start 500ml,H Moon Hydro,simple
liquid-carbo-blast,5,archive,no,1.00,Archive legacy single products; already covered in consolidated import,liquid-carbo-blast-1l|liquid-carbo-blast-2-5-gal|liquid-carbo-blast-4l|liquid-carbo-blast-500ml|liquid-carbo-blast-6-gal,Liquid Carbo Blast 1L|Liquid Carbo Blast 2.5 Gal|Liquid Carbo Blast 4L|Liquid Carbo Blast 500ml|Liquid Carbo Blast 6 Gal.,H Moon Hydro,simple
liquid-koolbloom,5,archive,no,1.00,Archive legacy single products; already covered in consolidated import,liquid-koolbloom-0-10-10|liquid-koolbloom-0-10-11|liquid-koolbloom-1-gal|liquid-koolbloom-2-5-gal|liquid-koolbloom-6-gal,Liquid KoolBloom 1 gal|Liquid KoolBloom 2.5 gal|Liquid KoolBloom 6 gal|Liquid KoolBloom™ 0 - 10 - 10,H Moon Hydro,grouped|simple
mayan-microzyme,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,mayan-microzyme|mayan-microzyme-1-qt|mayan-microzyme-16-oz|mayan-microzyme-4-oz|mayan-microzyme-8-oz,Mayan Microzyme|Mayan Microzyme 1 qt|Mayan Microzyme 16 oz|Mayan Microzyme 4 oz|Mayan Microzyme 8 oz,H Moon Hydro,grouped|simple
myco-madness-soluble,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,myco-madness-soluble|myco-madness-soluble-1-lb|myco-madness-soluble-4-oz|myco-madness-soluble-5-lbs|myco-madness-soluble-8-oz,Myco Madness Soluble|Myco Madness Soluble 1 lb|Myco Madness Soluble 4 oz|Myco Madness Soluble 5 lbs|Myco Madness Soluble 8 oz,H Moon Hydro,grouped|simple
rapid-start,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,rapid-start|rapid-start-1-pt|rapid-start-1-qt|rapid-start-125-ml|rapid-start-275-ml,Rapid Start|Rapid Start 1 pt|Rapid Start 1 qt|Rapid Start 125 ml|Rapid Start 275 ml,H Moon Hydro,grouped|simple
