SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
2002,,,,,8,,,,,,,0845268002713,SKIP_MISSING_IN_SHOPIFY
2005,,,,,26,,,,,,,0035355004250,SKIP_MISSING_IN_SHOPIFY
2006,,,,,6,,,,,,,0694416533773,SKIP_MISSING_IN_SHOPIFY
1928,,,,,0,,,,,,,9781878823250,SKIP_MISSING_IN_SHOPIFY
1946,gid://shopify/ProductVariant/42665849978954,float-kit-merlin-garden-pro,ACTIVE,1,1,0,41.06,,19.0,,0812111010065,0812111010065,NO_CHANGE
1998,,,,,1,,,,,,,0840470000212,SKIP_MISSING_IN_SHOPIFY
2008,,,,,0,,,,,,,0691111604512,SKIP_MISSING_IN_SHOPIFY
1929,,,,,1,,,,,,,0741559050039,SKIP_MISSING_IN_SHOPIFY
1947,,,,,0,,,,,,,0840470000151,SKIP_MISSING_IN_SHOPIFY
1976,gid://shopify/ProductVariant/42665850568778,f-h-d-super-saucer-8,ACTIVE,366,318,-48,1.89,,0.45,,10876395000584,10876395000584,READY_TO_UPDATE
1999,,,,,1,,,,,,,,SKIP_MISSING_IN_SHOPIFY
2009,,,,,3,,,,,,,69111111106465,SKIP_MISSING_IN_SHOPIFY
2017,,,,,0,,,,,,,9532290010090,SKIP_MISSING_IN_SHOPIFY
2022,gid://shopify/ProductVariant/42665876127818,the-root-pouch-1-gallon,DRAFT,497,211,-286,2.20,,0.93,,0851856003628,0851856003628,READY_TO_UPDATE
1930,,,,,7,,,,,,,0845268000634,SKIP_MISSING_IN_SHOPIFY
1977,,,,,0,,,,,,,0793094015257,SKIP_MISSING_IN_SHOPIFY
2023,gid://shopify/ProductVariant/42665877143626,the-root-pouch-2-gallon,DRAFT,469,502,33,2.57,,1.17,,0851856003635,0851856003635,READY_TO_UPDATE
2041,,,,,0,,,,,,,0891144000175,SKIP_MISSING_IN_SHOPIFY
1978,,,,,3,,,,,,,0793094053341,SKIP_MISSING_IN_SHOPIFY
2024,gid://shopify/ProductVariant/42665877078090,the-root-pouch-3-gallon,DRAFT,180,203,23,3.20,,1.45,,0851856003642,0851856003642,READY_TO_UPDATE
2042,,,,,15,,,,,,,0845268000382,SKIP_MISSING_IN_SHOPIFY
2049,,,,,0,,,,,,,0075967907686,SKIP_MISSING_IN_SHOPIFY
2050,,,,,5,,,,,,,0626853111153,SKIP_MISSING_IN_SHOPIFY
2051,,,,,2,,,,,,,69111141643255,SKIP_MISSING_IN_SHOPIFY
2054,,,,,0,,,,,,,0793094017435,SKIP_MISSING_IN_SHOPIFY
2124,,,,,0,,,,,,,0847127002315,SKIP_MISSING_IN_SHOPIFY
2125,gid://shopify/ProductVariant/42665827762250,5-8-shut-off-barbed-valve-bag-of-10,ACTIVE,21,2,-19,4.61,,2.36,,0793094041683,0793094041683,READY_TO_UPDATE
2126,gid://shopify/ProductVariant/42665840803914,basic-600w-hps-ballast,ACTIVE,18,2,-16,99.00,,62.0,,6911116465656,6911116465656,READY_TO_UPDATE
2129,,,,,20,,,,,,,0847127000977,SKIP_MISSING_IN_SHOPIFY
2136,,,,,0,,,,,,,0892753002192,SKIP_MISSING_IN_SHOPIFY
2137,,,,,0,,,,,,,0624493111342,SKIP_MISSING_IN_SHOPIFY
2025,,,,,10,,,,,,,0851856003659,SKIP_MISSING_IN_SHOPIFY
2055,,,,,7,,,,,,,0793094017428,SKIP_MISSING_IN_SHOPIFY
2068,,,,,0,,,,,,,0727644132323,SKIP_MISSING_IN_SHOPIFY
2070,,,,,0,,,,,,,0845268004755,SKIP_MISSING_IN_SHOPIFY
160,,,,,1,,,,,,,0755361010051,SKIP_MISSING_IN_SHOPIFY
161,,,,,1,,,,,,,0755361010037,SKIP_MISSING_IN_SHOPIFY
162,,,,,0,,,,,,,0755361011041,SKIP_MISSING_IN_SHOPIFY
167,,,,,1,,,,,,,0043725198003,SKIP_MISSING_IN_SHOPIFY
168,gid://shopify/ProductVariant/42665864527946,ona-gel-fresh-linen-1-qt,DRAFT,14,,,17.55,,10.75,,0624493122027,0624493122027,NO_CHANGE
169,gid://shopify/ProductVariant/42665864986698,ona-gel-fresh-linen-1-gal,DRAFT,2,0,-2,39.05,,24.25,,0624493123024,0624493123024,READY_TO_UPDATE
170,,,,,1,,,,,,,0624493141325,SKIP_MISSING_IN_SHOPIFY
171,gid://shopify/ProductVariant/42665864396874,ona-pro-block-6oz,ACTIVE,29,4,-25,9.99,,5.3,,0624493141349,0624493141349,READY_TO_UPDATE
60,,,,,5,,,,,,,0727644132217,SKIP_MISSING_IN_SHOPIFY
64,,,,,13,,,,,,,0793094016216,SKIP_MISSING_IN_SHOPIFY
65,,,,,14,,,,,,,0793094016223,SKIP_MISSING_IN_SHOPIFY
66,gid://shopify/ProductVariant/42665850961994,flora-micro-55-gal,DRAFT,15,2,-13,115.34,,43.75,,0793094016230,0793094016230,READY_TO_UPDATE
67,,,,,1,,,,,,,0793094016261,SKIP_MISSING_IN_SHOPIFY
81,,,,,0,,,,,,,0626853108825,SKIP_MISSING_IN_SHOPIFY
82,,,,,24,,,,,,,0793094015929,SKIP_MISSING_IN_SHOPIFY
83,,,,,5,,,,,,,0793094015936,SKIP_MISSING_IN_SHOPIFY
84,gid://shopify/ProductVariant/42665861480522,maxigro-2-2-lb,DRAFT,36,11,-25,17.99,,7.67,,0793094012119,0793094012119,READY_TO_UPDATE
86,gid://shopify/ProductVariant/42665861414986,maxibloom-2-2-lb,DRAFT,41,14,-27,17.99,,7.67,,0793094012218,0793094012218,READY_TO_UPDATE
88,,,,,2,,,,,,,0793094013154,SKIP_MISSING_IN_SHOPIFY
89,,,,,0,,,,,,,0793094013161,SKIP_MISSING_IN_SHOPIFY
