ProductID,Handle,SKU,Existing,Incoming
gid://shopify/Product/8043115610186,humboldt-grow-2-1-6,hmh00343,DRAFT,ACTIVE
gid://shopify/Product/8043115577418,humboldt-grow-2-1-6,hmh00344,DRAFT,ACTIVE
gid://shopify/Product/8043116724298,humboldt-micro-5-0-1,hmh00345,DRAFT,ACTIVE
gid://shopify/Product/8043116167242,humboldt-micro-5-0-1,hmh00348,DRAFT,ACTIVE
gid://shopify/Product/8043118952522,humboldt-micro-5-0-1,hmh00349,DRAFT,ACTIVE
gid://shopify/Product/8043115544650,humboldt-bloom-0-6-5,hmh00350,DRAFT,ACTIVE
gid://shopify/Product/8043115905098,humboldt-bloom-0-6-5,hmh00351,DRAFT,ACTIVE
gid://shopify/Product/8043116298314,humboldt-bloom-0-6-5,hmh00352,DRAFT,ACTIVE
gid://shopify/Product/8043116068938,humboldt-bloom-0-6-5,hmh00353,DRAFT,ACTIVE
gid://shopify/Product/8043115708490,big-up-powder-0-33-23,hmh00356,DRAFT,ACTIVE
gid://shopify/Product/8043115675722,big-up-powder-0-33-23,hmh00355,DRAFT,ACTIVE
gid://shopify/Product/8043115642954,big-up-powder-0-33-23,hmh00357,DRAFT,ACTIVE
gid://shopify/Product/8043116658762,sea-cal-3-2-8,hmh00358,DRAFT,ACTIVE
gid://shopify/Product/8043116757066,sea-cal-3-2-8,hmh00359,DRAFT,ACTIVE
gid://shopify/Product/8043116920906,sea-cal-3-2-8,hmh00360,DRAFT,ACTIVE
gid://shopify/Product/8043117871178,sea-mag-0-2-0-2-3,hmh00361,DRAFT,ACTIVE
gid://shopify/Product/8043117510730,sea-mag-0-2-0-2-3,hmh00362,DRAFT,ACTIVE
gid://shopify/Product/8043117445194,sea-mag-0-2-0-2-3,hmh00363,DRAFT,ACTIVE
gid://shopify/Product/8043116200010,master-a,hmh00364,DRAFT,ACTIVE
gid://shopify/Product/8043116101706,master-a,hmh00366,DRAFT,ACTIVE
gid://shopify/Product/8043116036170,master-a,hmh00365,DRAFT,ACTIVE
gid://shopify/Product/8043118362698,master-a,hmh00367,DRAFT,ACTIVE
gid://shopify/Product/8043117477962,master-b,hmh00368,DRAFT,ACTIVE
gid://shopify/Product/8043116527690,master-b,hmh00369,DRAFT,ACTIVE
gid://shopify/Product/8043116134474,master-b,hmh00370,DRAFT,ACTIVE
gid://shopify/Product/8043117051978,master-b,hmh00371,DRAFT,ACTIVE
gid://shopify/Product/8043115741258,dueceduece,hmh00372,DRAFT,ACTIVE
gid://shopify/Product/8043115479114,dueceduece,hmh00373,DRAFT,ACTIVE
gid://shopify/Product/8043108991050,equilibrium-natural,hmh00386,DRAFT,ACTIVE
gid://shopify/Product/8043117772874,hydro-deuce,hmh00387,DRAFT,ACTIVE
gid://shopify/Product/8043117838410,hydro-deuce,hmh00388,DRAFT,ACTIVE
gid://shopify/Product/8043118985290,hydro-deuce,hmh00389,DRAFT,ACTIVE
gid://shopify/Product/8043129405514,royal-flush,hmh00390,DRAFT,ACTIVE
gid://shopify/Product/8043113185354,ginormous,hmh00395,DRAFT,ACTIVE
gid://shopify/Product/8043114725450,grow-natural,hmh00397,DRAFT,ACTIVE
gid://shopify/Product/8043113119818,grow-natural,hmh00398,DRAFT,ACTIVE
gid://shopify/Product/8043114954826,grow-natural,hmh00399,DRAFT,ACTIVE
gid://shopify/Product/8043113971786,grow-natural,hmh00400,DRAFT,ACTIVE
gid://shopify/Product/8043102666826,bloom-natural,hmh00402,DRAFT,ACTIVE
gid://shopify/Product/8043102863434,bloom-natural,hmh00403,DRAFT,ACTIVE
gid://shopify/Product/8043102339146,bloom-natural,hmh00404,DRAFT,ACTIVE
gid://shopify/Product/8043103289418,bloom-natural,hmh00405,DRAFT,ACTIVE
gid://shopify/Product/8043102011466,bloom-natural,hmh00406,DRAFT,ACTIVE
gid://shopify/Product/8043115446346,hum-bolt,hmh00407,DRAFT,ACTIVE
gid://shopify/Product/8043115839562,hum-bolt,hmh00408,DRAFT,ACTIVE
gid://shopify/Product/8043115511882,hum-bolt,hmh00409,DRAFT,ACTIVE
