SKU,Reason,Status,Details
hmh01049,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01050,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01051,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01052,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01053,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01054,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01055,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01056,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01057,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01058,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01059,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01060,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01061,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01062,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01063,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01064,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01065,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01066,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01067,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01068,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01069,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01070,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01071,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01073,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01074,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01083,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01084,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01087,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01088,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01091,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01092,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01103,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01105,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01106,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01108,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01109,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01110,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01111,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01112,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01113,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01114,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01115,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01116,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01117,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01118,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01120,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01121,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01122,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01123,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01124,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01125,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01126,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01127,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01128,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01129,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01131,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01132,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01133,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01134,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01135,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
