metric,value
Total Products,1455
Total Variants,2145
Active Products,777
Draft Products,678
Archived Products,0
% Variants Missing SKU,8.72%
Variants with Blank/Zero Price,0
Archived/Draft with Inventory,537

metric,value
PROBLEM SHORTLIST (first 300),
product_handle / variant_id / sku,status | price | total_inv | target_loc_inv
can-75-pre-filter | gid://shopify/ProductVariant/42665844998218 | hmh00719,DRAFT | 13.03 | 2 | 2
can-50-filter-16-5-od-19-8-high-8-flange-size-420-cfm | gid://shopify/ProductVariant/42665845194826 | hmh00706,DRAFT | 112.95 | 4 | 4
calnesium-defficiency-correction-supplemnt-qt | gid://shopify/ProductVariant/42665845358666 | hmh01855,DRAFT | 20.99 | 7 | 7
can-700-pre-filter | gid://shopify/ProductVariant/42665845096522 | hmh00713,DRAFT | 13.03 | 2 | 2
can-125-pre-filter | gid://shopify/ProductVariant/42665845162058 | hmh00721,DRAFT | 20.64 | 1 | 1
camg-2-5-gal | gid://shopify/ProductVariant/42665845391434 | hmh00682,DRAFT | 200.00 | 4 | 4
can-66-filter-12-od-26-high-8-flange-size-412-cfm | gid://shopify/ProductVariant/42665845293130 | hmh00707,DRAFT | 112.95 | 4 | 4
can-75-filter-16-5-od-29-5-high-8-flange-size-600-cfm | gid://shopify/ProductVariant/42665845522506 | hmh00708,DRAFT | 112.95 | 4 | 4
can-100-filter-16-5-od-39-4-high-8-flange-size-840-cfm | gid://shopify/ProductVariant/42665845686346 | hmh00709,DRAFT | 112.95 | 4 | 4
can-fan-6-standard-output-270-cfm | gid://shopify/ProductVariant/42665845784650 | hmh00793,DRAFT | 136.84 | 1 | 1
carbo-blast-2-5-kg | gid://shopify/ProductVariant/42665845620810 | hmh00318,DRAFT | 96.49 | 4 | 4
can-fan-12-high-output-971-cfm | gid://shopify/ProductVariant/42665845719114 | hmh00797,DRAFT | 336.69 | 1 | 1
can-fan-8-standard-output-493-cfm | gid://shopify/ProductVariant/42665845817418 | hmh00795,DRAFT | 152.05 | 1 | 1
