SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
88,,,,,,,,,,,,0793094013154,SKIP_MISSING_IN_SHOPIFY
89,,,,,,,,,,,,0793094013161,SKIP_MISSING_IN_SHOPIFY
90,gid://shopify/ProductVariant/42665841393738,big-bloom-liquid-plant-food-1-qt,ACTIVE,48,,,30.99,,10.88,,0793094014526,0793094014526,NO_CHANGE
136,,,,,,,,,,,,0872187000261,SKIP_MISSING_IN_SHOPIFY
143,gid://shopify/ProductVariant/42665839329354,all-purpose-feeder-packs-20-ct,ACTIVE,16,,,5.86,,3.0,,0689076421768,0689076421768,REVIEW_DUPLICATE
143,gid://shopify/ProductVariant/42665865117770,organic-feeder-packs-20-ct,ACTIVE,16,,,5.86,,3.0,,0689076421768,0689076421768,REVIEW_DUPLICATE
144,,,,,,,,,,,,0705105758374,SKIP_MISSING_IN_SHOPIFY
145,gid://shopify/ProductVariant/42665844441162,calcarb-calcium-carbonate-foliar-spray-6-oz,DRAFT,32,,,19.54,,11.0,,0705105758473,0705105758473,NO_CHANGE
146,,,,,,,,,,,,0689076957359,SKIP_MISSING_IN_SHOPIFY
147,,,,,,,,,,,,0689076465465,SKIP_MISSING_IN_SHOPIFY
1980,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
2026,gid://shopify/ProductVariant/42665876553802,the-root-pouch-7-gallon,DRAFT,604,,,5.36,,2.4,,0851856003666,0851856003666,NO_CHANGE
2056,,,,,,,,,,,,0793094017633,SKIP_MISSING_IN_SHOPIFY
2073,,,,,,,,,,,,0691111061187,SKIP_MISSING_IN_SHOPIFY
2074,,,,,,,,,,,,0692236142038,SKIP_MISSING_IN_SHOPIFY
2076,,,,,,,,,,,,6911164003779,SKIP_MISSING_IN_SHOPIFY
2081,,,,,,,,,,,,0845268004991,SKIP_MISSING_IN_SHOPIFY
352,,,,,,,,,,,,0870883008017,SKIP_MISSING_IN_SHOPIFY
354,,,,,,,,,,,,0075700160043,SKIP_MISSING_IN_SHOPIFY
355,,,,,,,,,,,,0757900160081,SKIP_MISSING_IN_SHOPIFY
356,,,,,,,,,,,,0757900160166,SKIP_MISSING_IN_SHOPIFY
357,,,,,,,,,,,,0757900160326,SKIP_MISSING_IN_SHOPIFY
359,,,,,,,,,,,,0895474002007,SKIP_MISSING_IN_SHOPIFY
362,,,,,,,,,,,,0870883002077,SKIP_MISSING_IN_SHOPIFY
440,,,,,,,,,,,,0793094041157,SKIP_MISSING_IN_SHOPIFY
442,,,,,,,,,,,,0691111177022,SKIP_MISSING_IN_SHOPIFY
533,gid://shopify/ProductVariant/42665855385674,gardening-indoors-with-cuttings,ACTIVE,7,,,14.61,,8.97,,9781878823205,9781878823205,NO_CHANGE
560,gid://shopify/ProductVariant/42665856630858,humboldt-honey-es-5-gal,DRAFT,2,,,164.70,,42.12,,0837654466537,0837654466537,NO_CHANGE
587,gid://shopify/ProductVariant/42665862004810,mayan-microzyme-4-oz,DRAFT,30,,,19.55,,10.0,,0837654478806,0837654478806,NO_CHANGE
614,gid://shopify/ProductVariant/42665859842122,humboldt-micro-5-gal,DRAFT,0,,,155.54,,79.56,,0837654466148,0837654466148,NO_CHANGE
364,,,,,,,,,,,,0689001390046,SKIP_MISSING_IN_SHOPIFY
1981,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
2027,gid://shopify/ProductVariant/42665876914250,the-root-pouch-10-gallon,DRAFT,57,,,6.12,,2.76,,0851856003673,0851856003673,NO_CHANGE
2045,,,,,,,,,,,,0845268003758,SKIP_MISSING_IN_SHOPIFY
2057,gid://shopify/ProductVariant/42665852797002,floranectar-coconut-1-qt,DRAFT,15,,,22.99,,10.5,,0793094017626,0793094017626,NO_CHANGE
2072,,,,,,,,,,,,0845268003826,SKIP_MISSING_IN_SHOPIFY
2075,,,,,,,,,,,,36906131346416,SKIP_MISSING_IN_SHOPIFY
2077,,,,,,,,,,,,0617993000216,SKIP_MISSING_IN_SHOPIFY
2083,,,,,,,,,,,,0856372001400,SKIP_MISSING_IN_SHOPIFY
15,gid://shopify/ProductVariant/42665860759626,liquid-karma-qt,DRAFT,11,,,35.09,,20.0,,0757900200329,0757900200329,NO_CHANGE
16,gid://shopify/ProductVariant/42665860726858,liquid-koolbloom-1-gal,DRAFT,4,,,84.50,,46.5,,0757900201289,0757900201289,REVIEW_DUPLICATE
16,gid://shopify/ProductVariant/42665860792394,liquid-karma-gal,DRAFT,4,,,84.50,,46.5,,0757900201289,0757900201289,REVIEW_DUPLICATE
18,,,,,,,,,,,,0757900233204,SKIP_MISSING_IN_SHOPIFY
19,,,,,,,,,,,,0757900113209,SKIP_MISSING_IN_SHOPIFY
20,,,,,,,,,,,,0757900103200,SKIP_MISSING_IN_SHOPIFY
21,,,,,,,,,,,,0757900093204,SKIP_MISSING_IN_SHOPIFY
23,,,,,,,,,,,,0625664750070,SKIP_MISSING_IN_SHOPIFY
24,,,,,,,,,,,,0757900106409,SKIP_MISSING_IN_SHOPIFY
25,,,,,,,,,,,,0757900116408,SKIP_MISSING_IN_SHOPIFY
26,,,,,,,,,,,,0757900096403,SKIP_MISSING_IN_SHOPIFY
27,,,,,,,,,,,,0659627014046,SKIP_MISSING_IN_SHOPIFY
28,,,,,,,,,,,,0659627014053,SKIP_MISSING_IN_SHOPIFY
327,gid://shopify/ProductVariant/42665842933834,biothrive-grow-2-5-gal,DRAFT,11,,,151.93,,55.12,,0793094051248,0793094051248,NO_CHANGE
331,,,,,,,,,,,,0719812013428,SKIP_MISSING_IN_SHOPIFY
332,,,,,,,,,,,,4965280665188,SKIP_MISSING_IN_SHOPIFY
335,,,,,,,,,,,,0097395025008,SKIP_MISSING_IN_SHOPIFY
336,,,,,,,,,,,,6911111742224,SKIP_MISSING_IN_SHOPIFY
337,gid://shopify/ProductVariant/42665864822858,ph-4-01-calibration-solution-qt,DRAFT,6,,,21.02,,10.75,,0793094015424,0793094015424,NO_CHANGE
338,gid://shopify/ProductVariant/42665865216074,ph-7-0-calibration-solution-qt,DRAFT,0,,,21.02,,10.75,,0793094015523,0793094015523,NO_CHANGE
2028,gid://shopify/ProductVariant/42665877012554,the-root-pouch-15-gallon-w-handle,DRAFT,18,,,7.48,,4.05,,0851856003918,0851856003918,NO_CHANGE
2058,,,,,,,,,,,,,SKIP_MISSING_IN_SHOPIFY
2078,,,,,,,,,,,,0617993000223,SKIP_MISSING_IN_SHOPIFY
2084,,,,,,,,,,,,6911116004333,SKIP_MISSING_IN_SHOPIFY
2091,,,,,,,,,,,,0035355003420,SKIP_MISSING_IN_SHOPIFY
2093,,,,,,,,,,,,6911646425356,SKIP_MISSING_IN_SHOPIFY
