product_id,product_handle,product_title,product_status,product_vendor,product_type,variant_id,variant_title,sku,barcode,price,compare_at_price,cost_amount,cost_currency,inv_total_all_locations,inv_at_target_location,inv_detail_json
gid://shopify/Product/8043092836426,25-ft-black-white-panda-film-poly,25 ft.Black & White Panda Film (poly),DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819209802,Default Title,hmh01542,0000291000062,27.32,,15.0,USD,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043092869194,2mm-thick-25-mylar-roll,2mm Thick 25' Mylar Roll,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819275338,Default Title,hmh01297,,30.95,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043092901962,25-ft-diamond-silver-white-film,25 ft. Diamond Silver White Film,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819242570,Default Title,hmh01539,0696859061806,45.89,46.95,27.0,USD,12,12,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":12}]"
gid://shopify/Product/8043092934730,3-pack-1-5-v-batteries-for-hm-digital-meters,3-pack 1.5 V batteries for HM Digital Meters,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819308106,Default Title,hmh00997,,8.95,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043092967498,240v-20ft-power-cords,240V 20ft. Power Cords,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819406410,Default Title,hmh01782,,35.00,,,,12,12,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":12}]"
gid://shopify/Product/8043093000266,240v-240v-4-light-switcher,240V - 240V 4 Light Switcher,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819373642,Default Title,hmh01122,0741559020285,253.58,,240.0,USD,1,1,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":1}]"
gid://shopify/Product/8043093033034,3-75-mesh-basket,3.75 Mesh Basket,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819504714,Default Title,hmh00834,0870883008277,0.72,,0.24,USD,64,64,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":64}]"
gid://shopify/Product/8043093065802,240v-lec-emitting-ceramic-fixture-630-light,240V.LEC®Emitting Ceramic® Fixture 630 Light,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819439178,Default Title,hmh01595,,250.00,534.00,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043093098570,3-ft-extender-rail-a-3-foot-section-of-rail-to-extend-a-6-ft-section-into-a-9-ft,3 ft extender rail- A 3 foot section of rail to extend a 6 ft section into a 9 ft,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819340874,Default Title,hmh00902,,31.95,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043093131338,2mm-thick-50-mylar-roll,2mm Thick 50' Mylar Roll,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819471946,Default Title,hmh00926,,48.95,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043093164106,3-in-net-pot-case-of-100,3 in. Net-Pot (case of 100),DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819537482,Default Title,hmh00842,0793094066020,0.59,,0.27,USD,47,47,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":47}]"
gid://shopify/Product/8043093196874,2mm-thick-100-mylar-roll,2mm Thick 100' Mylar Roll,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665819570250,Default Title,hmh00927,0870883005146,87.93,,52.0,USD,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
