Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
trimpro-rotor-grate-size-1-4,"TRIMPRO ROTOR - grate size 1/4""","",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00765,850.48569375,,0,deny,manual,1795.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/trim-pro-rotor_31977043-2a16-4578-abab-d347c7c63a4c.jpg?v=1761679116,1,"",false,,,,oz,,,active
vortex-12-in-1140-cfm,"Vortex 12 in., 1140 cfm","",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00777,623.68950875,,0,deny,manual,412.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/vortex_powerfans_d07ce46b-fce8-4697-b282-2e3ab0bc7e72.jpg?v=1761679116,1,"",false,,,,oz,,,active
waterfarm-reservoir-4-gal,WaterFarm Reservoir - 4 gal,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00503,0.0,,0,deny,manual,20.00,,true,true,,,,,,,,,false,,,,lb,,,active
trimpro-workstation-grate-mixed,TRIMPRO Workstation grate mixed,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00755,566.9904625,,0,deny,manual,439.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/trim-pro-workstation.jpg?v=1761679116,1,"",false,,,,oz,,,active
trimbox-workstation-stand-only,TRIMBOX Workstation STAND ONLY,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00759,510.29141625,,0,deny,manual,395.00,,true,true,,,,,,,,,false,,,,oz,,,active
the-root-pouch-30-gallon-w-handle,The Root Pouch 30 Gallon w/ Handle,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01136,28.349523125,,0,deny,manual,15.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Root-Pouch_74bd6d74-7595-4797-a15e-d52c24d1a23a.jpg?v=1761679110,1,"",false,,,,oz,,,active
white-rhino-feminised-afghan-x-brazilian-x-south-indian-5-seed,White Rhino (Feminised) Afghan x Brazilian x South Indian-5 seed,"",H Moon Hydro,,simple,GREENHOUSE SEED,false,Title,Default Title,,,,,,,,,7.08738078125,,0,deny,manual,45.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/WhiteRhino_7wdj-n1_jpg.jpg?v=1761679111,1,"",false,,,,oz,,,active
union-connector-1-4-in,UNION CONNECTOR 1/4 in.,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00951,0.0,,0,deny,manual,4.75,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/UNION-CONNECTOR-1_4-in.jpg?v=1761679110,1,UNION CONNECTOR 1_4 in,false,,,,lb,,,active
verde-growth-catalyst-1-gal,Verde Growth Catalyst 1 gal,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh00415,368.543800625,,0,deny,manual,80.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/verde.jpg?v=1761679110,1,"",false,,,,oz,,,active
voodoo-juice-root-booster-500-ml,VooDoo Juice Root Booster (500 ml),"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01069,28.349523125,,0,deny,manual,66.90,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/voodoo.jpg?v=1761679110,1,"",false,,,,oz,,,active
